"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Negative Feedback","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"8/29/2022 5:09 pm","17948165345151582","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/Ch1aFYptPGC/","VALUE, KPIs, and USE CASES #discoveringdata E039 with Bill Schmarzo @schmarzo #business #data #podcast",,"111","111","","109","109","","","1.8%","2","0","0","","","","","","","1","0","1","","","","","","","","","111","111","","","","","","","","","","","","","","","","","","","","","","","","episode-39"
"8/25/2022 10:22 pm","18222669457147263","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/ChrqucJsoi3/","Turning DATA into KNOWLEDGE #discoveringdata E040 with Jessica Talisman 🎧 Taxonomies & Ontologies #business #data #podcast",,"111","111","","108","108","","","4.5%","5","3","3","","","","","","","1","0","1","","","","","","","","","111","111","","","","","","","","","","","","","","","","","","","","","","","","E040 Jessica Talisman, episode-40"
"9/13/2022 9:19 pm","7142822392803380485","TikTok","Post","Video","discoveringdata"," ","https://www.tiktok.com/@discoveringdata/video/7142822392803380485?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","3 Pillars of data observability #discoveringdata E042 with Salma Bakouk #dataobservability #dataquality #business #data #podcast",,"","","","107","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","110","","","","","","","","","0.0091","0","107","0","0","0","1","","","","","","","","","8.04","E042-E043 Salma Bakouk, episode-042"
"9/14/2022 8:37 pm","18076965727309024","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/Cie-gqfNQKQ/","Data teams show your work! #discoveringdata E042 with Salma Bakouk  #dataobservability #dataquality #business #data #podcast",,"109","109","","109","109","","","0.92%","1","0","0","","","","","","","1","0","0","","","","","","","","","109","109","","","","","","","","","","","","","","","","","","","","","","","","E042-E043 Salma Bakouk, episode-042"
"9/10/2022 10:33 pm","17960278342948082","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CiU4mMSrtWk/","Who needs data products? #discoveringdata E042 with Salma Bakouk 🎧 Listen https://bit.ly/3cNR6Fo #dataobservability #dataquality #business #data #podcast",,"109","109","","109","109","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","109","109","","","","","","","","","","","","","","","","","","","","","","","","E042-E043 Salma Bakouk, episode-042"
"8/31/2022 8:11 pm","17885622893705734","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/Ch64aPyryGS/","The GRAPH of your company’s KNOWLEDGE #discoveringdata E040 with Jessica Talisman #business #data #podcast #taxonomy #ontology",,"109","109","","109","109","","","1.83%","2","0","0","","","","","","","1","0","1","","","","","","","","","109","109","","","","","","","","","","","","","","","","","","","","","","","","E040 Jessica Talisman, episode-40"
"8/26/2022 10:15 pm","YWy2zQHg5VI","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=YWy2zQHg5VI","How Steven Spilberg used TAXONOMIES #discoveringdata E040 with Jessica Talisman 🎧 Taxonomies & Ontologies #business #data #podcast",,"","","","","","","","","1","1","1","0","","","","","","0","0","","","0","","","","0","0","0","109","","","","","","","","","","","","","","","","21","","","","","0","0","0","","E040 Jessica Talisman, episode-40"
"8/10/2022 9:07 pm","2UA_jBWLn6U","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=2UA_jBWLn6U","BE A DATA ARTIST! #discoveringdata E034 with Stephanie Barnes 🎨 RADICAL Knowledge Management #business #data #podcast",,"","","","","","","","","2","2","2","0","","","","","","0","0","","","0","","","","0","0","0","109","","","","","","","","","","","","","","","","19","","","","","0","0","0","","episode-34"
"10/15/2022 8:17 pm","18033942838400152","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CjuqGAtp14y/","Did I understand correctly? #discoveringdata E045 with Ashleigh Faith 🎧 Listen https://bit.ly/3SQOWnZ #datatherapy #datatranslators #business #data #podcast",,"108","108","","108","108","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","108","108","","","","","","","","","","","","","","","","","","","","","","","","E045 - Ashleigh Faith"
"10/13/2022 7:13 pm","18232287088147365","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CjpZLV9sbMF/","Not taken seriously? Do this! #discoveringdata E045 with Ashleigh Faith 🎧 Listen https://bit.ly/3SQOWnZ #datatherapy #datatranslators #business #data #podcast",,"108","108","","106","106","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","108","108","","","","","","","","","","","","","","","","","","","","","","","","E045 - Ashleigh Faith"
"9/10/2022 7:17 pm","18317812294057829","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CiUiLCtPXFs/","Lineage and the data lifecycle #discoveringdata E042 with Salma Bakouk #dataobservability #dataquality #business #data #podcast",,"108","108","","105","105","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","108","108","","","","","","","","","","","","","","","","","","","","","","","","E042-E043 Salma Bakouk, episode-042"
"8/29/2022 7:01 pm","17882053802712347","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/Ch1m0SZrhfb/","FASTER search with ONTOLOGIES #discoveringdata E040 with Jessica Talisman 🎧 Listen https://bit.ly/3KgXW2t #business #data #podcast #taxonomy #ontology",,"108","108","","106","106","","","0.93%","1","0","0","","","","","","","1","0","0","","","","","","","","","108","108","","","","","","","","","","","","","","","","","","","","","","","","E040 Jessica Talisman, episode-40"
